SlNo,Name,CustID,Number of Credit Cards,Age,Gender,MaritalStatus,AnnualSalary,MonthlyCCUsage
792,Chasity,334113,1,56,F,Never Married,"9,89,504",Medium(<50%)
793,Arturo,334362,4,21,M,Never Married,"9,32,006",Medium(<50%)
794,Felicia,334469,4,19,M,Married,"91,083",Medium(<50%)
795,Carolina,335228,4,28,F,Divorced,"3,81,340",Medium(<50%)
796,Bella,335394,2,25,M,Divorced,"97,108",Medium(<50%)
797,Harold,335470,4,28,M,Married,"4,96,138",Medium(<50%)
798,Colby,335758,1,48,F,Married,"2,52,205",Medium(<50%)
799,Carley,335942,5,69,M,Married,"7,76,460",Medium(<50%)
800,Justine,335959,5,62,M,Divorced,"2,50,018",Medium(<50%)
801,Jasmyn,336182,3,22,M,Married,"8,57,520",Medium(<50%)
802,Dallin,336841,3,61,M,Married,"8,44,885",Medium(<50%)
803,Guadalupe,336862,5,34,F,Married,"64,678",Medium(<50%)
804,Adriel,337150,5,33,F,Never Married,"5,10,639",Medium(<50%)
805,Jada,337370,1,44,F,Divorced,"8,01,285",Medium(<50%)
806,Camron,338340,8,44,F,Married,"3,29,130",Medium(<50%)
807,Alessandra,338793,4,51,M,Married,"7,90,989",Medium(<50%)
808,Carlie,339172,4,62,M,Married,"8,34,894",Medium(<50%)
809,Briana,339777,3,69,M,Divorced,"8,00,911",Medium(<50%)
810,Chad,341128,4,32,M,Never Married,"5,27,999",Medium(<50%)
811,Antoine,341198,2,27,F,Married,"4,36,033",Medium(<50%)
812,Esmeralda,341256,2,23,F,Married,"3,87,973",Medium(<50%)
813,Jett,341349,1,23,M,Never Married,"4,72,550",Medium(<50%)
814,Aaliyah,341490,2,59,M,Never Married,"3,20,864",Medium(<50%)
815,Jaden,341706,3,62,F,Married,"2,86,507",Medium(<50%)
816,Jovan,341741,5,45,M,Never Married,"8,77,501",Medium(<50%)
817,Amari,342860,3,70,F,Married,"3,40,269",Medium(<50%)
818,Alexandria,342928,6,26,F,Never Married,"2,05,141",Medium(<50%)
819,Dianna,343181,4,21,F,Married,"4,15,547",Medium(<50%)
820,Guillermo,343545,5,47,M,Never Married,"4,28,402",Medium(<50%)
821,Charity,343711,3,63,M,Married,"6,92,144",Medium(<50%)
822,Jana,344631,8,40,F,Married,"6,21,379",Medium(<50%)
823,Arnold,345219,7,41,F,Married,"2,13,132",Medium(<50%)
824,Jewel,345366,4,70,M,Married,"3,77,725",Medium(<50%)
825,Jamar,345448,3,41,M,Married,"7,74,430",Medium(<50%)
826,Bernardo,345985,3,22,M,Divorced,"5,60,352",Medium(<50%)
827,Fernanda,346243,2,54,M,Married,"8,62,439",Medium(<50%)
828,Demarcus,346379,3,19,F,Married,"4,69,452",Medium(<50%)
829,Aidan,346621,4,25,M,Married,"8,55,224",Medium(<50%)
830,Berenice,346896,5,64,F,Married,"1,46,491",Medium(<50%)
831,Colten,346913,6,46,M,Married,"3,21,337",Medium(<50%)
832,Emilio,347069,4,19,M,Married,"5,80,390",Medium(<50%)
833,Carly,347277,9,27,F,Divorced,"4,60,247",Medium(<50%)
834,Elisabeth,347421,6,46,M,Never Married,"8,61,618",Medium(<50%)
835,Adriana,347924,8,40,M,Never Married,"5,67,055",Medium(<50%)
836,Daniella,348033,6,49,M,Never Married,"2,99,965",Medium(<50%)
837,Antony,348434,6,31,M,Never Married,"9,56,456",Medium(<50%)
838,Alice,348723,4,36,M,Married,"4,90,993",Medium(<50%)
839,Alaina,349056,7,31,M,Married,"1,75,698",Medium(<50%)
840,Brisa,349070,5,60,M,Never Married,"8,75,627",Medium(<50%)
841,Alana,349313,7,60,M,Divorced,"8,94,154",Medium(<50%)
842,Grayson,350608,5,60,F,Married,"9,90,376",Medium(<50%)
843,Carley,351823,5,35,M,Married,"9,31,930",Medium(<50%)
844,Carli,351981,6,36,M,Married,"9,53,684",Medium(<50%)
845,Alice,352251,4,41,M,Divorced,"5,85,568",Medium(<50%)
846,Devante,355084,2,53,M,Married,"6,15,111",Medium(<50%)
847,Justice,355138,5,54,F,Never Married,"8,16,840",Medium(<50%)
848,Jairo,355209,4,20,F,Never Married,"6,36,124",Medium(<50%)
849,Efren,355667,5,66,M,Married,"4,72,002",Medium(<50%)
850,Abbigail,355725,9,46,F,Married,"5,59,889",Medium(<50%)
851,Carina,355759,3,34,M,Divorced,"6,14,114",Medium(<50%)
852,Abby,355819,4,69,F,Divorced,"9,27,785",Medium(<50%)
853,Dillon,356549,2,70,M,Divorced,"4,55,302",Medium(<50%)
854,Corey,357092,6,34,F,Never Married,"5,01,274",Medium(<50%)
855,Chaya,357404,4,24,M,Never Married,"3,58,534",Medium(<50%)
856,Gabriella,357573,6,61,M,Never Married,"3,12,527",Medium(<50%)
857,Joseph,357814,3,33,M,Married,"4,27,849",Medium(<50%)
858,Barbara,358547,1,70,M,Married,"3,03,262",Medium(<50%)
859,Jorge,358684,4,32,M,Married,"5,43,255",Medium(<50%)
860,Jacqueline,358828,2,40,M,Never Married,"8,41,212",Medium(<50%)
861,Gavin,358916,9,22,M,Married,"2,57,498",Medium(<50%)
862,Candice,359814,3,55,M,Married,"6,02,861",Medium(<50%)
863,Dominique,361121,4,66,M,Married,"3,56,555",Medium(<50%)
864,Akira,361357,4,38,M,Married,"1,92,357",Medium(<50%)
865,Alison,361418,1,64,F,Married,"5,71,972",Medium(<50%)
866,Eleanor,361782,5,48,M,Never Married,"1,50,032",Medium(<50%)
867,Andrew,361825,2,48,F,Married,"8,95,824",Medium(<50%)
868,Colleen,362011,6,32,M,Married,"7,71,325",Medium(<50%)
869,Emilia,363228,5,46,M,Divorced,"6,49,361",Medium(<50%)
870,Ellie,363378,8,54,M,Married,"2,48,803",Medium(<50%)
871,Jamir,363452,4,39,F,Never Married,"9,40,968",Medium(<50%)
872,Antony,363471,9,56,F,Married,"7,08,273",Medium(<50%)
873,Andres,363893,6,19,F,Married,"3,54,046",Medium(<50%)
874,Ellen,364018,1,23,M,Never Married,"8,94,069",Medium(<50%)
875,Alisha,364061,6,64,M,Never Married,"8,15,358",Medium(<50%)
876,Francisco,364666,2,67,F,Married,"7,10,564",Medium(<50%)
877,Eric,364729,4,52,M,Married,"5,57,281",Medium(<50%)
878,Houston,365061,5,65,M,Married,"8,61,282",Medium(<50%)
879,Antoine,365181,5,19,M,Married,"3,36,157",Medium(<50%)
880,Abdullah,366188,5,54,M,Married,"3,91,737",Medium(<50%)
881,Anthony,366660,5,28,M,Married,"9,86,454",Medium(<50%)
882,Fatima,366774,2,59,M,Never Married,"4,94,991",Medium(<50%)
883,Daniela,367274,2,56,F,Married,"5,85,326",Medium(<50%)
884,Ismael,367596,6,67,M,Married,"3,34,471",Medium(<50%)
885,Ethan,368259,5,55,M,Never Married,"9,39,930",Medium(<50%)
886,Justin,368348,1,58,F,Married,"2,74,791",Medium(<50%)
887,Deshawn,368534,3,32,M,Never Married,"7,61,999",Medium(<50%)
888,Cassie,368722,1,21,M,Never Married,"8,48,753",Medium(<50%)
889,Joseph,368869,4,32,M,Married,"9,47,302",Medium(<50%)
890,Janie,369180,8,21,M,Married,"1,86,649",Medium(<50%)
891,Emanuel,369235,5,24,M,Married,"8,89,899",Medium(<50%)
892,Bethany,369901,6,29,M,Never Married,"7,93,613",Medium(<50%)
893,Alan,370274,4,40,F,Married,"8,71,991",Medium(<50%)
894,Jaquelin,371581,7,38,M,Married,"1,69,691",Medium(<50%)
895,Destinee,371905,5,66,F,Divorced,"6,17,683",Medium(<50%)
896,Corbin,372174,3,57,M,Married,"7,81,567",Medium(<50%)
897,Jaylene,372195,7,26,F,Married,"2,75,427",Medium(<50%)
898,Erin,373366,10,27,F,Married,"3,02,757",Medium(<50%)
899,Fiona,373520,2,56,M,Never Married,"3,13,002",Medium(<50%)
900,Danny,373635,5,36,F,Married,"3,00,137",Medium(<50%)
901,Brianne,373937,4,31,F,Never Married,"7,26,416",Medium(<50%)
902,Catalina,374268,3,21,M,Divorced,"4,42,661",Medium(<50%)
903,Brock,374319,6,62,M,Never Married,"4,78,689",Medium(<50%)
904,Davin,375169,4,55,M,Married,"2,60,675",Medium(<50%)
905,Cierra,375338,3,66,F,Married,"69,248",Medium(<50%)
906,Haleigh,375439,3,67,F,Married,"7,92,632",Medium(<50%)
907,Emerson,375570,4,57,M,Married,"9,31,189",Medium(<50%)
908,Enrique,375894,5,30,M,Married,"1,06,382",Medium(<50%)
909,Joel,376228,5,35,M,Married,"2,54,897",Medium(<50%)
910,Haylie,376500,5,24,M,Never Married,"7,93,689",Medium(<50%)
911,Addison,376853,4,61,M,Divorced,"8,70,957",Medium(<50%)
912,Armani,377161,3,46,F,Never Married,"5,59,774",Medium(<50%)
913,Gillian,377875,9,51,M,Married,"9,32,493",Medium(<50%)
914,Calista,377913,3,34,F,Never Married,"3,13,302",Medium(<50%)
915,Hector,377995,6,61,F,Never Married,"9,46,480",Medium(<50%)
916,Derek,378100,5,63,M,Married,"1,57,691",Medium(<50%)
917,Eric,378405,4,30,M,Divorced,"1,70,525",Medium(<50%)
918,Abigayle,378579,8,45,M,Married,"1,29,994",Medium(<50%)
919,Andy,378721,5,39,F,Married,"8,24,441",Medium(<50%)
920,Angel,379392,4,43,M,Married,"5,75,650",Medium(<50%)
921,Dalia,379477,3,32,M,Married,"8,46,448",Medium(<50%)
922,Danny,379752,10,46,F,Married,"9,03,460",Medium(<50%)
923,Elliott,380397,8,22,M,Married,"9,56,616",Medium(<50%)
924,Jayde,381503,4,20,M,Married,"3,60,364",Medium(<50%)
925,Elyssa,381828,2,51,F,Married,"77,964",Medium(<50%)
926,Hope,381909,5,45,M,Married,"7,78,841",Medium(<50%)
927,Bennett,382831,9,58,F,Married,"1,36,421",Medium(<50%)
928,Cheyenne,383466,5,38,M,Never Married,"2,71,860",Medium(<50%)
929,Cayden ,383507,3,58,M,Married,"7,38,494",Medium(<50%)
930,Jailyn,384580,4,37,F,Never Married,"2,16,641",Medium(<50%)
931,Jade,384811,3,62,F,Married,"6,67,867",Medium(<50%)
932,Brynn,387009,5,54,M,Married,"9,92,435",Medium(<50%)
933,Jarod,387121,6,51,M,Married,"1,31,825",Medium(<50%)
934,Colten,387136,4,61,F,Divorced,"9,43,508",Medium(<50%)
935,Frankie,387456,4,59,M,Never Married,"5,11,704",Medium(<50%)
936,Dante,387562,7,46,F,Never Married,"4,00,218",Medium(<50%)
937,Freddie,387565,8,41,F,Divorced,"2,95,068",Medium(<50%)
938,Alanis,387660,10,25,F,Married,"1,14,632",Medium(<50%)
939,Jaheem,387783,9,30,M,Never Married,"62,287",Medium(<50%)
940,Francesca,388719,5,27,M,Married,"52,437",Medium(<50%)
941,Bria,388880,4,33,F,Married,"4,54,920",Medium(<50%)
942,Isiah,389144,4,24,M,Married,"80,965",Medium(<50%)
943,Haven,389158,2,41,M,Never Married,"5,37,868",Medium(<50%)
944,Byron,389737,6,20,M,Divorced,"7,65,859",Medium(<50%)
945,Alexia,390296,1,24,F,Married,"8,20,491",Medium(<50%)
946,Harley,390370,4,62,F,Never Married,"1,30,291",Medium(<50%)
947,Ean,390619,4,42,M,Married,"1,37,863",Medium(<50%)
948,Elsa,390843,7,20,M,Married,"9,28,053",Medium(<50%)
949,Carmen,391211,6,33,F,Married,"8,91,588",Medium(<50%)
950,Draven,391715,6,54,M,Married,"4,11,221",Medium(<50%)
951,Addison,391775,3,39,M,Married,"4,59,443",Medium(<50%)
952,Chana,392124,5,58,F,Married,"9,46,759",Medium(<50%)
953,Cadence,392330,8,21,M,Married,"3,64,409",Medium(<50%)
954,Gabriela,392551,7,50,M,Married,"8,95,370",Medium(<50%)
955,Chelsea,392929,6,47,F,Married,"3,36,852",Medium(<50%)
956,Jessie,393255,3,18,F,Married,"8,75,335",Medium(<50%)
957,Jean,393470,2,64,M,Married,"6,28,769",Medium(<50%)
958,Armani,393669,5,65,M,Married,"72,988",Medium(<50%)
959,Christian,393749,4,67,M,Married,"6,15,923",Medium(<50%)
960,Jeff,393976,4,37,F,Married,"5,01,413",Medium(<50%)
961,Arthur,394144,7,27,M,Married,"8,75,384",Medium(<50%)
962,Jeff,394765,2,31,M,Never Married,"2,39,698",Medium(<50%)
963,Jaquan,394784,4,33,M,Never Married,"8,51,629",Medium(<50%)
964,Braiden,394795,6,33,F,Divorced,"5,65,485",Medium(<50%)
965,David,394931,7,63,F,Never Married,"5,13,816",Medium(<50%)
966,Alberto,395764,4,32,M,Never Married,"7,76,157",Medium(<50%)
967,Isiah,395799,5,30,M,Married,"6,86,707",Medium(<50%)
968,Jolie,396036,2,29,M,Married,"3,06,638",Medium(<50%)
969,Cierra,396040,10,69,M,Married,"3,38,279",Medium(<50%)
970,Jaheim,396219,3,66,M,Married,"2,99,203",Medium(<50%)
971,Domenic ,396483,5,56,M,Married,"3,77,506",Medium(<50%)
972,Jonathan,397003,3,58,M,Married,"8,40,690",Medium(<50%)
973,Eliza,397127,5,63,M,Married,"8,81,325",Medium(<50%)
974,Bella,397251,6,60,M,Married,"5,19,799",Medium(<50%)
975,Carina,397606,4,21,M,Divorced,"4,71,238",Medium(<50%)
976,Colby,398013,10,64,M,Married,"1,91,966",Medium(<50%)
977,Camden,398783,4,65,M,Never Married,"7,38,784",Medium(<50%)
978,Felipe,399796,2,63,M,Never Married,"3,25,889",Medium(<50%)
979,Destiney,399976,4,62,M,Never Married,"9,06,662",Medium(<50%)
980,Erica,400133,5,26,M,Married,"9,79,558",Medium(<50%)
981,Alessandra,400192,4,36,M,Married,"5,27,906",Medium(<50%)
982,Alicia,400266,2,24,M,Divorced,"7,47,934",Medium(<50%)
983,Jace,400455,3,53,F,Married,"92,984",Medium(<50%)
984,Dianna,400474,4,29,F,Never Married,"2,27,257",Medium(<50%)
985,Conner,400600,7,33,F,Never Married,"1,38,600",Medium(<50%)
986,Brandy,400755,4,67,M,Never Married,"5,99,146",Medium(<50%)
987,Coleman,402194,4,34,M,Never Married,"93,679",Medium(<50%)
988,Calvin,402249,8,46,F,Divorced,"6,02,139",Medium(<50%)
989,Joaquin,402647,2,46,M,Married,"7,21,102",Medium(<50%)
990,Heather,403019,5,44,M,Married,"9,31,435",Medium(<50%)
991,Alanna,403875,2,44,F,Married,"6,85,813",Medium(<50%)
992,Jairo,403960,7,49,M,Married,"5,70,830",Medium(<50%)
993,Abigail,403998,4,67,M,Married,"1,76,996",Medium(<50%)
994,Grayson,404049,2,20,M,Married,"7,22,336",Medium(<50%)
995,Bryce,404919,4,21,F,Divorced,"2,75,237",Medium(<50%)
996,Conor,405216,3,64,M,Married,"8,21,816",Medium(<50%)
997,Candace,405801,6,25,M,Never Married,"7,06,430",Medium(<50%)
998,Arthur,405926,2,27,F,Never Married,"8,25,797",Medium(<50%)
999,Jaden,406204,6,64,M,Never Married,"1,13,705",Medium(<50%)
1000,Alexis,406302,7,29,M,Married,"1,54,147",Medium(<50%)
1001,Cade,406633,5,25,M,Divorced,"9,07,728",Medium(<50%)
1002,Bruno,407095,4,54,M,Never Married,"5,97,737",Medium(<50%)
1003,Brianne,407143,6,53,F,Never Married,"1,51,867",Medium(<50%)
1004,Cornelius,407816,4,22,M,Married,"9,29,425",Medium(<50%)
1005,Cole,408424,3,55,M,Married,"9,58,930",Medium(<50%)
1006,Harley,408912,3,23,F,Never Married,"1,50,342",Medium(<50%)
1007,Alexis,409365,4,62,F,Married,"3,35,617",Medium(<50%)
1008,Devin,409384,4,44,F,Divorced,"9,05,857",Medium(<50%)
1009,Janiya,409449,3,46,F,Never Married,"6,72,484",Medium(<50%)
1010,Denisse,410072,10,70,F,Divorced,"4,26,422",Medium(<50%)
1011,Carlie,410094,4,22,M,Married,"9,27,103",Medium(<50%)
1012,Brittney,410310,4,64,F,Divorced,"4,24,697",Medium(<50%)
1013,Deasia,410597,3,60,M,Married,"52,565",Medium(<50%)
1014,Gretchen,410948,4,37,M,Married,"9,74,916",Medium(<50%)
1015,Dalia,411014,4,51,F,Never Married,"62,885",Medium(<50%)
1016,Jacey,411307,1,33,M,Divorced,"9,85,570",Medium(<50%)
1017,Alessandra,412026,2,19,F,Married,"9,40,748",Medium(<50%)
1018,Colt,412766,5,64,M,Divorced,"6,50,299",Medium(<50%)
1019,Felipe,412838,5,42,F,Married,"9,00,696",Medium(<50%)
1020,Brad,412985,8,53,M,Never Married,"5,62,597",Medium(<50%)
1021,Jaiden,413707,2,49,M,Married,"89,386",Medium(<50%)
1022,Adrienne,414192,10,65,M,Married,"8,24,744",Medium(<50%)
1023,Abbie,414838,7,64,F,Never Married,"3,41,923",Medium(<50%)
1024,Jadyn,414869,3,69,F,Married,"8,23,292",Medium(<50%)
1025,Amarion,415010,4,54,M,Divorced,"4,63,351",Medium(<50%)
1026,Daphne,415058,4,27,M,Married,"2,46,118",Medium(<50%)
1027,Guadalupe,415249,4,23,M,Never Married,"9,77,837",Medium(<50%)
1028,Gerald,415282,3,22,M,Married,"2,26,938",Medium(<50%)
1029,Brianne,415355,3,62,M,Divorced,"7,33,002",Medium(<50%)
1030,Jaliyah,415854,4,32,F,Married,"88,917",Medium(<50%)
1031,Jean,416135,6,39,M,Married,"3,28,040",Medium(<50%)
1032,Armando,416261,4,23,M,Married,"7,28,897",Medium(<50%)
1033,Dustin,416767,10,32,F,Divorced,"1,72,943",Medium(<50%)
1034,Felicia,417777,8,23,F,Married,"58,255",Medium(<50%)
1035,Christina,417832,3,55,M,Divorced,"7,95,995",Medium(<50%)
1036,Garett,418226,5,51,F,Never Married,"6,02,837",Medium(<50%)
1037,Alvin,418716,3,57,F,Married,"5,80,986",Medium(<50%)
1038,Irving,418827,1,50,M,Never Married,"3,41,384",Medium(<50%)
1039,Cindy,418886,7,19,M,Married,"3,35,997",Medium(<50%)
1040,Colby,418891,2,41,F,Married,"1,81,615",Medium(<50%)
1041,Isaiah,419436,9,58,M,Divorced,"5,05,516",Medium(<50%)
1042,Evelyn,419647,6,70,F,Never Married,"87,008",Medium(<50%)
1043,Henry,419803,4,46,F,Divorced,"9,57,222",Medium(<50%)
1044,Jakobe,420001,5,68,F,Married,"2,27,529",Medium(<50%)
1045,Brandy,421447,3,40,F,Married,"65,989",Medium(<50%)
1046,Darien,421956,10,54,M,Married,"1,77,631",Medium(<50%)
1047,Joshua,421972,4,53,M,Married,"7,20,030",Medium(<50%)
1048,Gina,422065,2,69,M,Never Married,"9,84,538",Medium(<50%)
1049,Bilal,422232,3,64,M,Married,"7,70,735",Medium(<50%)
1050,Finn,422362,5,24,M,Married,"89,257",Medium(<50%)
1051,Hope,422531,5,67,M,Married,"9,75,608",Medium(<50%)
1052,Ivan,423015,2,44,M,Married,"3,95,141",Medium(<50%)
1053,Abel,423050,5,20,F,Never Married,"6,42,872",Medium(<50%)
1054,Arnold,423348,6,67,M,Married,"8,36,975",Medium(<50%)
1055,Adrianna,423407,2,39,F,Never Married,"2,91,989",Medium(<50%)
1056,Hannah,424351,6,33,M,Never Married,"9,50,958",Medium(<50%)
1057,Adonis,424623,1,68,F,Married,"1,21,420",Medium(<50%)
1058,Adrien,425804,2,40,F,Married,"1,16,142",Medium(<50%)
1059,Dexter,425825,3,65,M,Divorced,"9,12,039",Medium(<50%)
1060,Dorian,426333,9,35,F,Divorced,"1,47,513",Medium(<50%)
1061,Alina,426410,6,55,M,Never Married,"8,74,915",Medium(<50%)
1062,Devon,426525,7,60,F,Never Married,"4,05,209",Medium(<50%)
1063,Haylee,426719,3,66,M,Married,"3,51,103",Medium(<50%)
1064,Darius,427082,7,45,F,Married,"2,55,734",Medium(<50%)
1065,Harley,427106,7,46,F,Married,"5,87,011",Medium(<50%)
1066,Alexandro,427195,3,53,M,Married,"6,59,161",Medium(<50%)
1067,Carla,427331,1,38,M,Never Married,"4,20,799",Medium(<50%)
1068,Brianna,427409,3,49,M,Never Married,"2,49,608",Medium(<50%)
1069,Ella,427608,4,55,M,Never Married,"2,78,687",Medium(<50%)
1070,Grace,428139,3,33,M,Married,"8,81,936",Medium(<50%)
1071,Joana,428183,8,20,M,Never Married,"4,75,462",Medium(<50%)
1072,Brent,428674,3,63,F,Married,"9,76,121",Medium(<50%)
1073,Garrett,428915,3,29,F,Married,"8,35,074",Medium(<50%)
1074,Damian,429144,5,48,M,Never Married,"3,39,911",Medium(<50%)
1075,Helen,429417,2,60,F,Never Married,"8,45,447",Medium(<50%)
1076,Griffin,429795,5,42,M,Divorced,"2,14,260",Medium(<50%)
1077,Devon,429837,7,25,F,Married,"2,64,736",Medium(<50%)
1078,Brooke,430184,2,31,F,Married,"9,17,975",Medium(<50%)
1079,Blaine,430285,7,31,M,Married,"3,38,491",Medium(<50%)
1080,Jake,430506,4,46,M,Married,"5,25,620",Medium(<50%)
1081,Jaydon,430665,6,50,M,Never Married,"8,36,324",Medium(<50%)
1082,Aiyana,430821,6,18,F,Married,"1,60,665",Medium(<50%)
1083,Ainsley,430865,2,58,M,Married,"6,16,114",Medium(<50%)
1084,Clarissa,430900,7,63,F,Never Married,"84,021",Medium(<50%)
1085,Gilberto,431265,2,26,M,Never Married,"3,06,839",Medium(<50%)
1086,Abel,431500,1,58,M,Married,"6,38,270",Medium(<50%)
1087,Jarrett,431870,4,37,M,Married,"2,34,064",Medium(<50%)
1088,Donovan,431894,1,52,M,Divorced,"6,52,968",Medium(<50%)
1089,Chaim,431998,4,43,M,Divorced,"7,42,654",Medium(<50%)
1090,Aiden,432294,5,48,M,Divorced,"7,04,652",Medium(<50%)
1091,Abbigail,432510,10,37,M,Married,"1,55,807",Medium(<50%)
1092,Gage,432581,3,20,F,Married,"8,69,930",Medium(<50%)
1093,Belen,432798,3,19,M,Married,"3,79,314",Medium(<50%)
1094,Haylie,432912,1,48,F,Divorced,"9,45,307",Medium(<50%)
1095,Dakota,433525,1,19,F,Married,"8,39,018",Medium(<50%)
1096,Frances,434428,4,22,M,Divorced,"75,117",Medium(<50%)
1097,Bernardo,434824,10,34,M,Married,"1,57,544",Medium(<50%)
1098,Jamar,434918,3,51,F,Never Married,"6,72,809",Medium(<50%)
1099,Bethany,435040,9,20,M,Never Married,"1,56,225",Medium(<50%)
1100,Albert,435176,3,65,F,Never Married,"8,48,048",Medium(<50%)
1101,Conrad,435604,5,35,F,Married,"1,93,137",Medium(<50%)
1102,German,435611,5,58,M,Married,"4,12,360",Medium(<50%)
1103,Deonte,436061,4,18,F,Divorced,"2,65,552",Medium(<50%)
1104,Chaz,436075,3,50,M,Married,"6,94,041",Medium(<50%)
1105,Jamir,436395,4,38,F,Never Married,"9,02,297",Medium(<50%)
1106,Amari,436476,4,51,F,Never Married,"7,92,746",Medium(<50%)
1107,Claire,436910,3,33,M,Divorced,"9,86,916",Medium(<50%)
1108,Devon,437211,5,30,M,Married,"6,46,327",Medium(<50%)
1109,Braden,437275,5,37,F,Married,"9,95,797",Medium(<50%)
1110,Dallin,437346,5,52,F,Never Married,"2,15,297",Medium(<50%)
1111,Ethan,438226,6,25,M,Married,"6,65,189",Medium(<50%)
1112,Julianne,438734,7,50,F,Married,"3,66,186",Medium(<50%)
1113,Itzel,438971,6,29,M,Divorced,"8,59,554",Medium(<50%)
1114,Arthur,439520,7,46,M,Divorced,"97,840",Medium(<50%)
1115,Camryn,439705,1,64,M,Married,"3,69,610",Medium(<50%)
1116,Alvaro,439915,6,47,F,Never Married,"3,79,503",Medium(<50%)
1117,Jaylynn,440014,5,66,M,Married,"3,90,106",Medium(<50%)
1118,Cameron,440192,8,29,M,Never Married,"3,19,416",Medium(<50%)
1119,Jackson,440578,5,54,M,Married,"2,62,800",Medium(<50%)
1120,Herbert,440909,4,50,M,Divorced,"4,97,652",Medium(<50%)
1121,Edward,441296,4,36,M,Married,"1,45,690",Medium(<50%)
1122,Jailyn,441458,7,59,M,Married,"1,39,177",Medium(<50%)
1123,Diane,441831,4,49,M,Never Married,"4,79,085",Medium(<50%)
1124,Esperanza,441914,1,60,F,Married,"6,65,445",Medium(<50%)
1125,Fabian,442006,4,36,F,Married,"3,44,077",Medium(<50%)
1126,Chandler,442106,4,49,F,Never Married,"6,07,132",Medium(<50%)
1127,Dayana,442433,6,31,M,Married,"2,92,615",Medium(<50%)
1128,Eli,443809,3,54,F,Married,"7,84,109",Medium(<50%)
1129,Hazel,444099,4,45,F,Never Married,"8,21,112",Medium(<50%)
1130,Christopher,445541,6,26,M,Never Married,"84,602",Medium(<50%)
1131,Cordell,446178,7,25,F,Divorced,"6,14,809",Medium(<50%)
1132,Estefany,446283,6,68,M,Divorced,"1,37,315",Medium(<50%)
1133,Jane,446294,4,34,M,Married,"52,748",Medium(<50%)
1134,Enrique,446439,6,68,M,Married,"9,55,940",Medium(<50%)
1135,Estrella,447370,2,39,F,Married,"8,71,216",Medium(<50%)
1136,Dakota,448061,7,27,M,Married,"8,93,650",Medium(<50%)
1137,Iris,448264,6,61,F,Never Married,"3,32,202",Medium(<50%)
1138,Dale,448854,8,50,M,Divorced,"9,75,664",Medium(<50%)
1139,Erika,449265,3,62,M,Married,"5,59,374",Medium(<50%)
1140,Breonna,449662,2,27,M,Never Married,"2,93,455",Medium(<50%)
1141,Herbert,450129,5,70,M,Married,"3,71,361",Medium(<50%)
1142,Gavin,451247,5,60,M,Never Married,"9,07,204",Medium(<50%)
1143,Jamie,451837,5,26,M,Married,"2,06,831",Medium(<50%)
1144,Alessandro,451862,3,54,M,Never Married,"1,14,026",Medium(<50%)
1145,Cali,452436,4,61,M,Married,"1,15,400",Medium(<50%)
1146,Alfredo,452653,5,55,M,Never Married,"6,10,547",Medium(<50%)
1147,Alden,452846,6,28,F,Married,"8,03,020",Medium(<50%)
1148,Isai,453082,3,46,M,Never Married,"3,27,893",Medium(<50%)
1149,Clifton,453296,8,27,F,Married,"8,38,326",Medium(<50%)
1150,Daniel,453454,5,47,F,Married,"5,56,736",Medium(<50%)
1151,Caiden,453881,5,53,M,Divorced,"1,94,023",Medium(<50%)
1152,Bret,454039,5,59,F,Married,"5,18,694",Medium(<50%)
1153,Ellis ,454112,4,56,F,Married,"7,52,277",Medium(<50%)
1154,Janiya,454314,7,51,F,Never Married,"2,07,637",Medium(<50%)
1155,Bridget,454318,3,56,F,Married,"8,57,869",Medium(<50%)
1156,Deshaun,454350,4,62,M,Never Married,"8,01,465",Medium(<50%)
1157,Dane,454574,10,55,F,Divorced,"7,72,232",Medium(<50%)
1158,Genesis,455451,3,69,M,Divorced,"1,60,410",Medium(<50%)
1159,Essence,455710,7,26,M,Never Married,"1,84,292",Medium(<50%)
1160,Bryson,456395,1,40,F,Never Married,"7,13,770",Medium(<50%)
1161,Ellen,456516,1,47,M,Married,"8,75,963",Medium(<50%)
1162,Carly,456538,10,46,M,Divorced,"7,82,926",Medium(<50%)
1163,Ciera,456622,1,54,M,Married,"5,35,723",Medium(<50%)
1164,Aden,456647,8,21,M,Married,"2,05,568",Medium(<50%)
1165,Jaden,457405,8,43,M,Married,"4,26,891",Medium(<50%)
1166,Denzel,457816,9,23,M,Never Married,"5,74,640",Medium(<50%)
1167,Abagail,458577,2,44,M,Never Married,"4,95,387",Medium(<50%)
1168,Damian,458854,4,67,M,Married,"8,95,303",Medium(<50%)
1169,Justine,459050,4,20,M,Divorced,"8,19,042",Medium(<50%)
1170,Emilee,459143,4,19,M,Never Married,"9,79,190",Medium(<50%)
1171,Isaac,460052,6,24,M,Married,"5,01,049",Medium(<50%)
1172,Clare,460312,5,49,M,Married,"6,70,972",Medium(<50%)
1173,Edith,460427,3,41,M,Married,"1,34,094",Medium(<50%)
1174,Aja,460682,5,41,F,Married,"4,32,817",Medium(<50%)
1175,Cora,460953,4,61,F,Never Married,"74,572",Medium(<50%)
1176,Jaylynn,461021,2,44,M,Never Married,"6,39,559",Medium(<50%)
1177,Deshawn,461220,2,48,M,Married,"1,82,610",Medium(<50%)
